_id,name,gender,birthDate,enrollmentDate,classId,contact.phone,contact.email,contact.emergencyContact,address,profile.height,profile.weight,profile.healthStatus
S20230101,马军军,男,2005-01-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,12s5mffy9if,202301_1@school.edu.cn,13xke6zx7a,FeilfortHyatt Mountains 2栋102室,166,59.25293473005468,合格
S20230102,李杰,男,2005-02-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,18hevn9gppc,202301_2@school.edu.cn,13q6szvoua,East WillaLavonne Burg 3栋103室,167,56.77498616503283,合格
S20230103,黄娜,女,2005-03-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,15ttgns3tma,202301_3@school.edu.cn,139xvvijex,Lake ValentineAlbin Manor 4栋104室,158,59.91012813979375,良好
S20230104,马伟,男,2005-04-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,124h9dl6t1j,202301_4@school.edu.cn,131egto4ko,WaukeshaDickinson Villages 5栋105室,169,64.37014150955518,良好
S20230105,李强,男,2005-05-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,170hj3nspxs,202301_5@school.edu.cn,13qq9t2jzn,HarrisburgMorar Plaza 1栋106室,170,53.17293676029986,良好
S20230106,吴娜娜,女,2005-06-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,12q7qxpnepq,202301_6@school.edu.cn,13alzj9l1u,Costa MesaAlexandre Avenue 2栋107室,161,56.61817406926998,优秀
S20230107,胡军军,男,2005-07-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,13pnl865idl,202301_7@school.edu.cn,1394wzwc00,KeelingboroughStamm Burg 3栋108室,172,64.68734221132924,合格
S20230108,徐浩,男,2005-08-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,173vm8mswbv,202301_8@school.edu.cn,13yjyhmu9j,EvelinebergSchowalter Viaduct 4栋109室,173,62.661813783060715,优秀
S20230109,罗雪,女,2005-09-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,110uu4hhtdt,202301_9@school.edu.cn,13l6lhfit0,North ElouiseRae Stravenue 5栋110室,164,53.639027887770865,优秀
S20230110,何强,男,2005-10-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,11ay3osi799,202301_10@school.edu.cn,1321mi3pxk,MissoulaHiram Bypass 1栋101室,175,51.64930072653737,优秀
S20230111,杨强强,男,2005-11-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,129nk6te7q3,202301_11@school.edu.cn,13t8rqzkqq,KenoshaRansom Street 2栋102室,176,53.95577357998559,合格
S20230112,李涵涵,女,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,12h35a0ffs0,202301_12@school.edu.cn,13ya4awqlh,LongmontItzel Camp 3栋103室,167,69.48745946967207,良好
S20230113,赵阳,男,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,16374igekfw,202301_13@school.edu.cn,139hhb34xx,Lake HelgaburyStroman Shoal 4栋104室,178,57.92770727490372,合格
S20230114,徐阳,男,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,11pmkne5fu3,202301_14@school.edu.cn,13rbwmoh27,West LelahmouthMaggio Rapid 5栋105室,179,51.98409050156862,良好
S20230115,徐芳,女,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,15c9bxsdelu,202301_15@school.edu.cn,13c05xi191,North KhaliltonLangosh Land 1栋106室,170,54.59089149862351,良好
S20230116,高宇,男,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,12cs8uukk59,202301_16@school.edu.cn,13je5keefz,Port BerrychesterFrida Plains 2栋107室,181,57.58303099651956,优秀
S20230117,王宇宇,男,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,18exqi635bm,202301_17@school.edu.cn,13nxmxvn73,EzrastadFlorian Lights 3栋108室,182,52.00647790415907,良好
S20230118,赵静静,女,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,14xnenluxdr,202301_18@school.edu.cn,13txz1ynwv,New AlejandraburyEdwardo View 4栋109室,173,62.61032381157405,合格
S20230119,何伟,男,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,13l5t5dhf68,202301_19@school.edu.cn,13gua79lb6,OttoportMatteo View 5栋110室,184,50.70674706926576,合格
S20230120,吴浩,男,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,179dez9aeoh,202301_20@school.edu.cn,13zpsp8tzr,Jurupa ValleyKendrick Trail 1栋101室,185,55.63626843609745,合格
S20230121,黄涵涵,女,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,11o3kacs606,202301_21@school.edu.cn,13wp8qoya6,West RussfortCasper Centers 2栋102室,176,59.93937096762413,合格
S20230122,刘强,男,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,169hga0lrqi,202301_22@school.edu.cn,1329snpcz0,PerrisHarris Throughway 3栋103室,187,61.46736799075471,优秀
S20230123,周伟,男,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,1796ja7vg0j,202301_23@school.edu.cn,13ll42ejw1,North CarlibergHerzog Orchard 4栋104室,188,61.62795957797842,优秀
S20230124,孙娜娜,女,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,16j8pljophi,202301_24@school.edu.cn,13z0b0ud4u,ConnlandPattie Avenue 5栋105室,179,58.71891707621362,良好
S20230125,郭杰杰,男,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,18vd138w9at,202301_25@school.edu.cn,13pvgkujlk,Carson CityKovacek Ville 1栋106室,190,61.60758089243946,合格
S20230126,黄浩,男,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,11ezfi6u6sa,202301_26@school.edu.cn,13fclzweai,RyanfortAdell Park 2栋107室,191,52.17666817033944,优秀
S20230127,吴静,女,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,11jh2xn1p92,202301_27@school.edu.cn,13iv7985i8,West MariahQuigley Ville 3栋108室,182,58.01571833933987,优秀
S20230128,胡阳,男,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,12pja3ycpy5,202301_28@school.edu.cn,13nytwrz56,ReddingPrecious Canyon 4栋109室,193,58.34243423445486,合格
S20230129,朱强,男,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,168le64kg93,202301_29@school.edu.cn,13gy5o5bd8,WinifredfortGodfrey Pines 5栋110室,194,65.37957569855767,优秀
S20230130,罗娜娜,女,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,16reh8wwaoi,202301_30@school.edu.cn,13cplxtyq4,AlhambraLockman Roads 1栋101室,185,50.223637821742514,优秀
S20230131,张伟,男,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,14mf05iucbn,202301_31@school.edu.cn,13gt2agid4,KeelystadRyan Causeway 2栋102室,196,59.06923417048524,合格
S20230132,高伟伟,男,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,1591hr4fkpo,202301_32@school.edu.cn,13z4k13qq3,AnastasiasideWeissnat Garden 3栋103室,197,65.04029775028019,良好
S20230133,朱静,女,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,11abjciwzh5,202301_33@school.edu.cn,13x8z6qu7h,Castle RockPaige Rapids 4栋104室,188,65.43222474389447,良好
S20230134,赵明明,男,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,13zmcocmi2c,202301_34@school.edu.cn,138xcvuzzq,EricboroughLevi Curve 5栋105室,199,57.74540244599207,良好
S20230135,李强,男,2005-12-15T00:00:00.000Z,2023-08-31T16:00:00.000Z,202301,12tvpy5kucf,202301_35@school.edu.cn,133dznn6k2,New JanieArnulfo Lodge 1栋106室,200,69.22529280676764,合格
